# Archived 2026-09-25: reviewed morphology pilot.
# This historical pilot is NOT an active production module and is excluded from capacity accounting.
# Future reuse requires fresh category assignment, source audit, and explicit promotion.

# Reviewed Polish morphology pilot.
# Columns: family_id	lemma	forms(; separated)	basis	note
# This is an explicit supplemental source for the pilot. It does not relax
# the global foreign-language filters or the hard regression blocklist.

verb-dopasowac	dopasować	dopasuj;dopasujmy;dopasujcie;dopasuję;dopasujesz;dopasuje;dopasował;dopasowała;dopasowali;dopasowaliśmy;dopasowywać;dopasowywałem;dopasowanie;dopasowania;dopasowaniu;dopasowaniem	Screenshot regression seed	Common inflection family around missing “dopasuj”.
verb-przypomniec	przypomnieć	przypomnij;przypomnijmy;przypomnijcie;przypomnę;przypomnisz;przypomni;przypomniał;przypomniała;przypomnieli;przypomnieliśmy;przypominać;przypominam;przypominaj;przypomnienie;przypomnienia;przypomnieniu	Screenshot regression seed	Common inflection family around missing “przypomnij”.
verb-zweryfikowac	zweryfikować	zweryfikuj;zweryfikujmy;zweryfikujcie;zweryfikuję;zweryfikujesz;zweryfikuje;zweryfikują;zweryfikował;zweryfikowała;zweryfikowali;zweryfikowaliśmy;weryfikować;weryfikuję;weryfikacja;weryfikacji;zweryfikowanie;zweryfikowania	Screenshot regression seed	Common inflection family around missing “zweryfikuj”.
verb-zobaczyc	zobaczyć	zobacz;zobaczmy;zobaczcie;zobaczę;zobaczysz;zobaczy;zobaczył;zobaczyła;zobaczyli;zobaczyliśmy;zobaczony;zobaczona;zobaczone;zobaczenie;zobaczenia	Screenshot regression seed	Common inflection family around missing “zobaczmy”.
noun-czat	czat	czat;czatu;czatowi;czatem;czacie;czaty;czatów;czatom;czatami;czatach	Screenshot regression seed	Case/number family around missing “czatów”.
noun-kukurydza	kukurydza	kukurydza;kukurydzy;kukurydzę;kukurydzie;kukurydzą;kukurydze;kukurydz;kukurydzami;kukurydzach	Screenshot regression seed	Case/number family around missing “kukurydzy”.
noun-komenda	komenda	komenda;komendy;komendę;komendzie;komendą;komendo;komend;komendom;komendami;komendach	Screenshot regression seed	Case/number family around observed missing “komendami”.
noun-babelek	bąbelek	bąbelek;bąbelka;bąbelkowi;bąbelkiem;bąbelku;bąbelki;bąbelków;bąbelkom;bąbelkami;bąbelkach	Screenshot regression seed	Case/number family around observed missing “bąbelkami”.
noun-muzyczka	muzyczka	muzyczka;muzyczki;muzyczkę;muzyczce;muzyczką;muzyczko;muzyczek;muzyczkom;muzyczkami;muzyczkach	Screenshot regression seed	Case/number family around observed missing diminutive “muzyczka”.
noun-leniuszek	leniuszek	leniuszek;leniuszka;leniuszkowi;leniuszkiem;leniuszku;leniuszki;leniuszków;leniuszkom;leniuszkami;leniuszkach	Screenshot regression seed	Case/number family around observed missing diminutive “leniuszek”.
