city	case	form	source	basis	note
Gdynia	gen	Gdyni	https://nck.pl/projekty-kulturalne/projekty/ojczysty-dodaj-do-ulubionych/ciekawostki-jezykowe/gdynia-chylonia	NCK OJczysty; zasada odmiany nazw miejscowości zakończonych na -nia	Potwierdzenie formy dopełniacza liczby pojedynczej.
Gdynia	dat	Gdyni	https://nck.pl/projekty-kulturalne/projekty/ojczysty-dodaj-do-ulubionych/ciekawostki-jezykowe/gdynia-chylonia	NCK OJczysty; zasada odmiany nazw miejscowości zakończonych na -nia	Potwierdzenie formy celownika liczby pojedynczej.
Gdynia	acc	Gdynię	https://wsjp.pl/haslo/podglad/44881/gdynia/4717747	WSJP PAN; pełny paradygmat nazwy Gdynia	Potwierdzenie formy biernika liczby pojedynczej.
Gdynia	inst	Gdynią	https://wsjp.pl/haslo/podglad/44881/gdynia/4717747	WSJP PAN; pełny paradygmat nazwy Gdynia	Potwierdzenie formy narzędnika liczby pojedynczej.
Gdynia	loc	Gdyni	https://wsjp.pl/haslo/podglad/44881/gdynia/4717747	WSJP PAN; pełny paradygmat nazwy Gdynia	Potwierdzenie formy miejscownika liczby pojedynczej.
Gdynia	voc	Gdynio	https://wsjp.pl/haslo/podglad/44881/gdynia/4717747	WSJP PAN; pełny paradygmat nazwy Gdynia	Potwierdzenie formy wołacza liczby pojedynczej.
Toruń	nom	Toruń	https://wsjp.pl/haslo/podglad/45077/torun	WSJP PAN; pełny paradygmat nazwy Toruń	Potwierdzenie mianownika liczby pojedynczej.
Toruń	gen	Torunia	https://wsjp.pl/haslo/podglad/45077/torun	WSJP PAN; pełny paradygmat nazwy Toruń	Potwierdzenie dopełniacza liczby pojedynczej.
Toruń	dat	Toruniowi	https://wsjp.pl/haslo/podglad/45077/torun	WSJP PAN; pełny paradygmat nazwy Toruń	Potwierdzenie celownika liczby pojedynczej.
Toruń	acc	Toruń	https://wsjp.pl/haslo/podglad/45077/torun	WSJP PAN; pełny paradygmat nazwy Toruń	Potwierdzenie biernika liczby pojedynczej.
Toruń	inst	Toruniem	https://wsjp.pl/haslo/podglad/45077/torun	WSJP PAN; pełny paradygmat nazwy Toruń	Potwierdzenie narzędnika liczby pojedynczej.
Toruń	loc	Toruniu	https://wsjp.pl/haslo/podglad/45077/torun	WSJP PAN; pełny paradygmat nazwy Toruń	Potwierdzenie miejscownika liczby pojedynczej.
Toruń	voc	Toruniu	https://wsjp.pl/haslo/podglad/45077/torun	WSJP PAN; pełny paradygmat nazwy Toruń	Potwierdzenie wołacza liczby pojedynczej.
Wrocław	nom	Wrocław	https://wsjp.pl/haslo/podglad/44734/wroclaw	WSJP PAN; pełny paradygmat nazwy Wrocław	Potwierdzenie mianownika liczby pojedynczej.
Wrocław	gen	Wrocławia	https://wsjp.pl/haslo/podglad/44734/wroclaw	WSJP PAN; pełny paradygmat nazwy Wrocław	Potwierdzenie dopełniacza liczby pojedynczej.
Wrocław	dat	Wrocławiowi	https://wsjp.pl/haslo/podglad/44734/wroclaw	WSJP PAN; pełny paradygmat nazwy Wrocław	Potwierdzenie celownika liczby pojedynczej.
Wrocław	acc	Wrocław	https://wsjp.pl/haslo/podglad/44734/wroclaw	WSJP PAN; pełny paradygmat nazwy Wrocław	Potwierdzenie biernika liczby pojedynczej.
Wrocław	inst	Wrocławiem	https://wsjp.pl/haslo/podglad/44734/wroclaw	WSJP PAN; pełny paradygmat nazwy Wrocław	Potwierdzenie narzędnika liczby pojedynczej.
Wrocław	loc	Wrocławiu	https://wsjp.pl/haslo/podglad/44734/wroclaw	WSJP PAN; pełny paradygmat nazwy Wrocław	Potwierdzenie miejscownika liczby pojedynczej.
Wrocław	voc	Wrocławiu	https://wsjp.pl/haslo/podglad/44734/wroclaw	WSJP PAN; pełny paradygmat nazwy Wrocław	Potwierdzenie wołacza liczby pojedynczej.
